10.1016/S0026-2714(00)00260-2,0,Introduction,0,/public/data/computer_science/Microelectronics_Reliability/2001/xml/1545.xml
10.1016/S0026-2714(00)00260-2,1,Experimental,3,/public/data/computer_science/Microelectronics_Reliability/2001/xml/1545.xml
10.1016/S0026-2714(00)00260-2,2,Stress in shallow trench isolation,3,/public/data/computer_science/Microelectronics_Reliability/2001/xml/1545.xml
10.1016/S0026-2714(00)00260-2,3,Summary,4,/public/data/computer_science/Microelectronics_Reliability/2001/xml/1545.xml
10.1016/j.compbiomed.2013.01.024,0,Introduction,0,/public/data/computer_science/Computers_in_Biology_and_Medicine/2013/xml/199.xml
10.1016/j.compbiomed.2013.01.024,1,Related work,1,/public/data/computer_science/Computers_in_Biology_and_Medicine/2013/xml/199.xml
10.1016/j.compbiomed.2013.01.024,2,Test case reuse-based integration testing,2,/public/data/computer_science/Computers_in_Biology_and_Medicine/2013/xml/199.xml
10.1016/j.compbiomed.2013.01.024,3,Evaluation,3,/public/data/computer_science/Computers_in_Biology_and_Medicine/2013/xml/199.xml
10.1016/j.compbiomed.2013.01.024,4,Conclusion and future work,4,/public/data/computer_science/Computers_in_Biology_and_Medicine/2013/xml/199.xml
10.1016/j.compbiomed.2013.01.024,5,Conflict of interest,-1,/public/data/computer_science/Computers_in_Biology_and_Medicine/2013/xml/199.xml
10.1016/j.jcp.2007.02.027,0,Introduction,0,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.jcp.2007.02.027,1,Model MHD problem,2,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.jcp.2007.02.027,2,Discretizations,2,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.jcp.2007.02.027,3,One-level NewtonKrylovSchwarz methods,2,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.jcp.2007.02.027,4,Explicit method,2,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.jcp.2007.02.027,5,Numerical experiments,3,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.jcp.2007.02.027,6,Conclusions and future work,4,/public/data/computer_science/Journal_of_Computational_Physics/2007/xml/2376.xml
10.1016/j.cor.2009.10.003,0,Introduction,0,/public/data/computer_science/Computers___Operations_Research/2010/xml/129.xml
10.1016/j.cor.2009.10.003,1,The dial-a-ride problem,2,/public/data/computer_science/Computers___Operations_Research/2010/xml/129.xml
10.1016/j.cor.2009.10.003,2,Solution framework,2,/public/data/computer_science/Computers___Operations_Research/2010/xml/129.xml
10.1016/j.cor.2009.10.003,3,Computational results,3,/public/data/computer_science/Computers___Operations_Research/2010/xml/129.xml
10.1016/j.cor.2009.10.003,4,Conclusion,4,/public/data/computer_science/Computers___Operations_Research/2010/xml/129.xml
10.1016/j.cviu.2007.09.003,0,Introduction,0,/public/data/computer_science/Computer_Vision_and_Image_Understanding/2008/xml/223.xml
10.1016/j.cviu.2007.09.003,1,Problem formulation,2,/public/data/computer_science/Computer_Vision_and_Image_Understanding/2008/xml/223.xml
10.1016/j.cviu.2007.09.003,2,Review of shape-from-shading methods,1,/public/data/computer_science/Computer_Vision_and_Image_Understanding/2008/xml/223.xml
10.1016/j.cviu.2007.09.003,3,Selection of three shape-from-shading methods for the tests,2,/public/data/computer_science/Computer_Vision_and_Image_Understanding/2008/xml/223.xml
10.1016/j.cviu.2007.09.003,4,Methodology,2,/public/data/computer_science/Computer_Vision_and_Image_Understanding/2008/xml/223.xml
